OBJECTID, SCHOOL_NAME, PHONE, SCHOOL_ADDRESS, CITY, STATE, ZIP_CODE, COUNTRY, HEAD_OF_SCHOOL, EMAIL_ADDRESS, WEBSITE, ENROLLMENT_SIZE, ESTABLISHED_YEAR, GRADE_BRACKETS, TUITION_RANGE, ACCREDITATION_STATUS, FEATURES, SCHOOL_SERVICES_PROGRAMS, HIFDH_PROGRAM, FACEBOOK, INSTAGRAM, TWITTER, YOUTUBE, LINKEDIN, FLICKR, FID, LATITUDE, LONGITUDE
"140","Islamic School of Greater Toledo","(419) 874-3509","25877 Scheider Rd, Perrysburg, OH 43551","Perrysburg","Ohio","Prek-12th","United States","Amy Rahal-Shelton","info@icgt.org","https://icgt.org/islamic-school-of-greater-toledo/","","","Prek-12th","$0-$2999","Yes","Weekend school, Quran study class","","","https://www.facebook.com/ICGToledo/","https://www.instagram.com/icgtoledo/?hl=en","https://twitter.com/icgtoledo?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor","","","","140","41.5282272","-83.6186429"
"141","Sunrise Academy","(614) 527-0465","5657 Scioto Darby Rd, Hilliard, OH 43026","Hilliard","Ohio","Prek-12th","United States","Khalid Kebbati","info@sunriseacademy.net","","540","1996","Prek-12th","$7000-$8999","In-progress","hot lunch, scholarship, uniforms, Edchoice financial aid","","","https://www.facebook.com/sunriseacademy/","","","","","","141","40.0312016","-83.1675381"
"142","Universal Muslim Academy","(513) 421-0700","2232 Stratford Ave, Cincinnati, OH 45219","Cincinnati","Ohio","Prek-8th","United States","M.C.Mortada","admin@cincy-uma.com","http://cincy-uma.com/","40","2013","Prek-8th","$5000-$6999","No","hot lunch, scholarship, uniforms, sibling disc,  financial aid","","","https://www.facebook.com/CincyUMA/","","","","","","142","39.1240041","-84.52280329999999"
"143","Mercy School Institute","(405) 748-5500","14001 N Harvey Ave, Edmond, OK 73013","Edmond","Oklahoma","Prek-12th","United States","Buthiana Jwayyed","mercyschoolokc@gmail.com","http://www.mercyschool.com","300","1998","Prek-12th","$5000-$6999","Yes","STEM","","","https://www.facebook.com/mercyschoolinstitute/","","","","","","143","35.6126189","-97.5190765"
"144","Peace Academy","(918) 627-1040","4620 S Irvington Ave, Tulsa, OK 74135","Tulsa","Oklahoma","Prek-12th","United States","Laura Agha","doit@patulsa.org","http://patulsa.org","193","1990","Prek-12th","$5000-$6999","Yes","hot lunch, scholarship, science lab, uniforms, sibling disc, financial aid, Quran, Aqida, Fiqh, and Akhlaq studies, Tarbiyah/Character Education","","","https://www.facebook.com/PeaceAcademyTulsa","","","","","","144","36.0967408","-95.912017"
"145","Academy of Essential Knowledge Islamic Elementary/High School","(215) 763-1601","1546 N 27th St, Philadelphia, PA 19121","Philadelphia","Pennsylvania","K-12th","United States","Isa Abdulmateen","essentialknowledge@mail.com","","","","K-12th","$0-$2999","","","","","","","","","","","145","39.9796337","-75.1794833"
"146","Al Noor Islamic Academy","(570) 991-6107","Wilkes-Barre, PA 18705","Wilkes Barre","Pennsylvania","Prek-6th","United States","Sh. Khalid Almaghayreh","info@anianepa.org","http://www.anianepa.org/","50","2010","Prek-6th","$3000-$4999","In-progress","hot lunch, sibling disc, staff disc; financial aid","","","https://www.facebook.com/pages/category/Private","","","","","","146","41.2737475","-75.8359645"
"147","Al-Aqsa Islamic Academy","(215) 765-6660","1501 Germantown Ave, Philadelphia, PA 19122","Philadelphia","Pennsylvania","Prek-12th","United States","Shireen Hammoudeh","Crumpton786@aol.com","","227","1996","Prek-12th","$3000-$4999","Yes","hot lunch, scholarship, science lab, uniforms, sibling disc,financial aid","","","https://www.facebook.com/islamicschoolAqsa/photos","https://www.instagram.com/alaqsaislamicschool/?igshid=Y2ZmNzg0YzQ%3D","","","","","147","39.9737893","-75.1415822"
"148","Iqra Academy","(484) 221-4302","2490 General Armistead Ave #304, Trooper, PA 19403","Trooper","Pennsylvania","Prek-8th","United States","Elizabeth Tonnon","etonnon@iqrainstitute.org","https://www.iqrainstitute.org/","45","2016","Prek-8th","$7000-$8999","No","uniforms, sibling disc, staff disc","","","https://www.facebook.com/iqrains/","","https://twitter.com/iqrains","","","","148","40.1230432","-75.4018565"
"149","MALV Islamic Academy","(610) 799-6223","1988 Schadt Ave, Whitehall, PA 18052","Whitehall","Pennsylvania","Prek-8th","United States","Nahed El-Seify","nelseify@manarahfoundation.org","https://malv.org/","140","2004","Prek-8th","$0-$2999","No","","","","https://www.facebook.com/malv1988/","","","","","","149","40.6373987","-75.5068348"
"150","Nelson\'s Academy","(215) 747-0321","5520 Baltimore Ave, Philadelphia, PA 19143","Philadelphia","Pennsylvania","K - 9th","United States","Trina Abdullah","admin@nelsonsacademy.com","","","2000","K - 9th","$0-$2999","No","","","","","","","","","","150","39.94694020000001","-75.2344769"
"151","Quba Institute","(215) 473-8589","4637 Lancaster Ave, Philadelphia, PA 19131","Philadelphia","Pennsylvania","K-8th","United States","Sheikh Anwar Muhaimin, CEO","info@qubainstitute.com","https://www.qubainc.org/","","1938","K-8th","$3000-$4999","No","","","","https://www.facebook.com/qubainstitute/","","","","","","151","39.971151","-75.2148946"
"152","Tarbiyatul Ilm Academy","(267) 335-4782","21 E School House Ln, Philadelphia, PA 19144","Philadelphia","Pennsylvania","Prek-8th","United States","Khadijah Abdullah","info@tialearning.org","https://www.tialearning.org/","70","2009","Prek-8th","$7000-$8999","In-progress","","","","","https://www.instagram.com/tiaeducation/?hl=en","","","","","152","40.0349014","-75.1724804"
"153","Villanova Academy for Honor Studies","(610) 520-9624","1860 Montgomery Ave, Villanova, PA 19085","Villanova","Pennsylvania","Prek-6th","United States","Teresa Hadjali","principal.vahs@gmail.com","https://sites.google.com/a/fiesite.org/vahs3/about-us","","1999","Prek-6th","$7000-$8999","Yes","After school clubs, Quran competitions, sibling discount, technology program","","","https://www.facebook.com/villanovaacademyforhonorstudies/","","","","","","153","40.0484056","-75.3395901"
"154","Islamic School Of Rhode Island","(401) 821-8700","840 Providence St, West Warwick, RI 02893","West Warwick","Rhode Island","Prek-8th","United States","Muhammad Ahmed","principal@isrionline.org","https://www.iisri.org/","129","2004","Prek-8th","$5000-$6999","Yes","scholarship,uniforms, hifz program, financial aid, sibling discount","","","https://www.facebook.com/Islamic","","https://twitter.com/IslamicSchoolRI","","","","154","41.7235139","-71.4974696"
"155","As-Sabeel Academy","(864) 674-7456","1601 Clement Rd, Greer, SC 29650","Greer","South Carolina","Prek-8th","United States","Shiam Harsho","sharsho@sabeelacademy.com","http://www.sabeelacademy.com","136","2008","Prek-8th","$3000-$4999","Yes","hot lunch, uniforms, sibling disc, financial aid, international students, after school clubs, tajweed club","","","https://www.facebook.com/sabeel.academy","","https://twitter.com/SabeelAcademySC?lang=en","","","","155","34.9195965","-82.2720381"
"156","Clara Muhammad School","(803) 252-9477","5119 Monticello Rd, Columbia, SC 29203","Columbia","South Carolina","Prek-8th","United States","Mary J. Hamin","","https://masjidassalaamsc.weebly.com/","21","","Prek-8th","$0-$2999","","","","","","","","","","","156","34.0510351","-81.0452257"
"157","Islamic Academy of Columbia","(803) 462-9904","2304 Kneece Rd, Columbia, SC 29223","Columbia","South Carolina","Prek-10th","United States","Adnan Omar","Louai_71@yahoo.com","http://iacsc.com","81","","Prek-10th","$0-$2999","","","","","","","","","","","157","34.055898","-80.9440009"
"158","Annoor Academy of Chattanooga","(423) 894-1637","2533 Gunbarrel Rd, Chattanooga, TN 37421","Chattanooga","Tennessee","Prek-8th","United States","Amany Shourbaji","principal@annooracademy.org","https://www.annooracademy.org/","60","2009","Prek-8th","$5000-$6999","In-progress","scholarship, uniforms, sibling disc,financial aid, extra curriculars","","","https://www.facebook.com/AnnoorAcademyCHA/","","","","","","158","35.0487189","-85.1465636"
"159","Clara Mohammed School","(615) 752-5809","3620 Buena Vista Pike, Nashville, TN 37218","Nashville","Tennessee","Prek-8th","United States","Mahasin Abdullah","Nashville","http://www.claramohammed.education/","","1971","Prek-8th","$0-$2999","","","","","https://m.facebook.com/Clara","","","","","","159","36.2139926","-86.8166529"
"160","Islamic Center of Murfreesboro Academy, ICM","615) 962-8867","862 Middle Tennessee Blvd, Murfreesboro, TN 37129","Murfreesboro","Tennessee","2 years old-3rd","United States","","admin@icmacademy.org","https://www.icmacademy.org/","","","2 years old-3rd","","","Two-year old program","","","","","","","","","160","35.826839","-86.39566599999999"
"161","Al Hedayah Academy","(817) 449-2626","8601 Randol Mill Rd, Fort Worth, TX 76120","Fort Worth","Texas","Prek-11th","United States","Michelle Nusrallah","alhedayahacademy2@gmail.com","https://www.alhedayahacademy.com/","","","Prek-11th","$0-$2999","","","","","https://www.facebook.com/AlHedayahAcademy/","","","","","","161","32.7683291","-97.1671992"
"162","Al Nur School","(888) 885-6688","15203 Bellaire Blvd, Houston, TX 77083","Houston","Texas","Prek-7th","United States","Howaida Ahmed","info@alnurschool.com","http://alnurschool.com","","","Prek-7th","$0-$2999","No","financial aid","","","","","","","","","162","29.7003394","-95.6533128"
"163","Al-Hadi School","(832) 617-8363","14855 Richmond Ave., Houston, TX 77082","Houston","Texas","K -12th","United States","Seyed Alireza Abedi","alhadi@alhadi.com","http://alhadi.com","","2002","K -12th","$0-$2999","Yes","","","","https://www.facebook.com/Alhadischool/","","","","","","163","29.729416","-95.6525733"
"164","Ameen Academy","(972) 885-0786","3401 Silverstone Dr, Plano, TX 75023","Plano","Texas","Prek-5th","United States","Shaheen Madni","farina@ameenacademy.org","http://www.ameenacademy.org","25","2014","Prek-5th","$5000-$6999","No","uniforms","","","https://www.facebook.com/AmeenAcademy/","","","","","","164","33.0424822","-96.7368328"
"165","Ameen People Montessori","(817) 543-2630","614 Hiett Ave, Arlington, TX 76010","Arlington","Texas","Prek-7th","United States","Samina Ameen","apmdirector@aol.com","http://ameenpeople.org","42","","Prek-7th","$0-$2999","","","","","https://www.facebook.com/ameenpeople/","","","","","","165","32.7230105","-97.1139456"
"166","Darul Arqam School Southeast","(713) 948-0094","8830 Galveston Rd, Houston, TX 77034","Houston","Texas","Prek-7th","United States","Farnaz Hassan","darularqamsoutheast@hotmail.com","http://www.southeast.darularqamschools.org/","68","1992","Prek-7th","$3000-$4999","Yes","uniforms","","","https://www.facebook.com/DUASoutheast/","","","","","","166","29.6316073","-95.20742159999999"
"167","Darul Arqam School Southwest","(281) 495-4015","10415 Synott Rd, Sugar Land, TX 77498","Sugar land","Texas","Prek-7th","United States","Rim Mohamed","darularqamsouthwest@gmail.com","http://www.southwest3.darularqamschools.org/","205","1995","Prek-7th","$3000-$4999","Yes","scholarship, science lab, uniforms, sibling disc","","","https://www.facebook.com/DarulArqamSouthwest/","","","","","","167","29.6653413","-95.6157784"
"168","Hijaz Academy","(281) 564-1004","15001 Beechnut St b, Houston, TX 77083","Houston","Texas","Prek-4th","United States","Noureen Mirza","info@hijazacademy.org","http://www.hijazacademy.org/","50","2010","Prek-4th","$0-$2999","In-progress","hot lunch, uniforms, sibling disc,financial aid","","","https://www.facebook.com/HijazAcademyS","","","","","","168","29.6891825","-95.65078369999999"
"169","ILM Academy","(713) 464-4720","1209 Conrad Sauer Dr, Houston, TX 77043","Houston","Texas","Prek-6th","United States","Sammy Ali","principal@ilmacademy.org","http://www.ilmacademy.org","187","2006","Prek-6th","$9000-$10999","Yes","hot lunch, scholarship,uniforms, sibling disc,","","","https://www.facebook.com/ilmacademytx","https://www.instagram.com/ilmacademyhtx","https://www.twitter.com/ILM_AcademyTX","","","","169","29.790108","-95.54956700000001"
"170","Iman Academy Southwest","(281) 498-1345","6240 S Texas 6, Houston, TX 77083","Houston","Texas","K - 11th","United States","Haleema Goense","southwest@imanacademy.org","http://www.imanacademy.org","525","1996","K - 11th","$5000-$6999","Yes","hot lunch, scholarship, science lab, uniforms, sibling disc,financial aid, tarbiyah program, extracurricular activities","","","https://www.facebook.com/ImanAcademy","","https://twitter.com/ImanAcademy","","","","170","29.709303","-95.6452923"
"171","Islamic Academy of San Antonio","(210) 614-0989","8638 Fairhaven St, San Antonio, TX 78229","San Antonio","Texas","Prek-5th","United States","Musa M. Sadek","IASA@IASAonline.net","http://icsaonline.org/iasa","","1993","Prek-5th","$0-$2999","Yes","","","","https://www.facebook.com/2005IASA/","https://www.instagram.com/icsaonline/?hl=en","https://mobile.twitter.com/icsaonline","","","","171","29.521497","-98.56326"
"172","Palm Tree Academy","(915) 229-2190","143 Paragon Ln, El Paso, TX 79912","El Paso","Texas","Prek-5th","United States","Nichole Orozco-Khamsi","admin@ptacademy.org","http://ptacademy.org/index.html","33","2006","Prek-5th","$0-$2999","Yes","","","","https://www.facebook.com/ptacademyofelpaso/","","","","","","172","31.8187555","-106.5116705"
"173","Peace Academy","(972) 480-0008","331 E Polk St, Richardson, TX 75081","Richardson","Texas","Prek-9th","United States","Ahsan Mohammed","info@worldpeaceacademy.com","","229","","Prek-9th","$0-$2999","No","student discount","","","https://www.facebook.com/ptacademyofelpaso/","","","","","","173","32.9475913","-96.7287208"
"174","Qalam Collegiate Academy - (All Girls)","(972) 437-2526","1625 Ferris Rd, Garland, TX 75044","Garland","Texas","5th-12th","United States","Fawzia Belal (All girls)","principal@myqca.org","https://www.myqca.org/","52","2013","5th-12th","$5000-$6999","Yes","science lab, uniforms, sibling disc, full time hifth program, dual credit, extra curriculars, financial aid, all girls school and all boys school","","","https://www.facebook.com/QalamAcademy/","https://www.instagram.com/qalamcollegiateacademy/?hl=en","https://mobile.twitter.com/myqcaorg","","","","174","32.9750339","-96.6562576"
"175","Qalam Collegiate Academy","(469) 929-9950","4700 14th Street, Plano, TX 75074","Plano","Texas","5th-12th","United States","Fawzia Belal (All girls)","principal@myqca.org","https://www.myqca.org/","52","2013","5th-12th","$5000-$6999","Yes","science lab, uniforms, sibling disc, full time hifth program, dual credit, extra curriculars, financial aid, all girls school and all boys school","","","https://www.facebook.com/QalamAcademy/","https://www.instagram.com/qalamcollegiateacademy/?hl=en","https://mobile.twitter.com/myqcaorg","","","","175","33.0100107","-96.6492074"
"176","Renaissance Academy","(512) 252-2277","14401 Owen-Tech Blvd, Austin, TX 78728","Austin","Texas","Prek-12th","United States","Dalia Mostafa","raprincipal@racademy.org","http://www.racademy.org","213","2007","Prek-12th","$7000-$8999","Yes","hot lunch, scholarship, science lab, uniforms, sibling disc, staff disc; financial aid","","","https://www.facebook.com/racademyaustin/","https://www.instagram.com/renaissanceeducationfoundation/","https://mobile.twitter.com/racademytweets","","","","176","30.4349354","-97.67051099999999"
"177","Vanguard International Academy","(817) 274-6444","1600 S Center St, Arlington, TX 76010","Arlington","Texas","","United States","Ibrahim Dremali","alin@viacademy.org","","37","2008","","","In-progress","","","","https://www.facebook.com/viacademy","","","","","","177","32.7186835","-97.1053869"
"178","IQRA\' ACADEMY","(340) 772-4808","Frederiksted, St Croix 00840, USVI","St. Croix","USVI","Prek-12th","United States","Edney Freeman","information@iqravi.org","https://www.iqraacademyvi.com/","16","1997","Prek-12th","$3000-$4999","Yes","scholarship, science lab, uniforms, sibling disc, financial aid","","","https://www.facebook.com/IqraAcademyVI","","http://www.twitter.com/IqraAcademyVI","","","","178","17.7124746","-64.8815352"
"179","Iqra Academy of Utah","(801) 964-6470","3990 S 2700 W, West Valley City, UT 84119","West Valley City","Utah","Prek-10th","United States","","iqrautah@gmail.com","https://iqrautah.com/","","2000","Prek-10th","$0-$2999","No","school uniform, financial aid","","","https://www.facebook.com/pages/category/Private","","","","","","179","40.6842593","-111.9584752"
"180","Al-Qalam School of Virginia","(703) 924-6000","6666 Commerce St, Springfield, VA 22150","Springfield","Virginia","Prek-12th","United States","Kulsum Saleh","alqalamcoordinator@gmail.com","http://www.alqalamus.org/","","1998","Prek-12th","$0-$2999","Yes","Uniforms, clubs,","","","https://www.facebook.com/pages/category/Private","","","","","","180","38.7799487","-77.17592239999999"
"181","Hidayah Academy","(703) 844-0424","20424 Ashburn Village Blvd, Ashburn, VA 20147","Ashburn","Virginia","6th-12th","United States","Asmaa Elsayed","info@HidayahAcademy.org","http://www.hidayahacademy.org","55","2018","6th-12th","$7000-$8999","In-progress","scholarship, science lab, financial aid, afterschool, 100% to 4-year college graduation rate, dual enrollment","","","https://www.facebook.com/hidayahacademyvirginia/","https://www.instagram.com/hidayahacademy/?igshid=78uoag4rbha","","","","","181","39.0509018","-77.4744545"
"182","Manassas Mosque Home Study Group: Islamic Community School","(703) 915-7019","Historic District, 7238 Nathan Ct, Manassas, VA 20109","Manassas","Virginia","Prek-6th","United States","Somayyah Nahidian","snahidian2@gmail.com","https://www.myics.school/","27","2004","Prek-6th","$0-$2999","No","","","","https://www.facebook.com/IslamicCommunitySchoolManassas/","https://www.instagram.com/islamiccommunityschool/?hl=en","","","","","182","38.799503","-77.52256"
"183","Tawheed Prep School","(804) 344-3350","1202 Oak St, Richmond, VA 23220","Richmond","Virginia","","United States","Mary Abdul-Lateef","principalmary@tawheedprep.org","","37","2007","","","Yes","hot lunch, scholarship, uniforms,","","","","","","","","","183","37.5567866","-77.44315689999999"
"184","Iqra Academy of Kent","(206) 432-6284","21009 108th Ave SE, Kent, WA 98031","Kent","Washington","","United States","Mizanur Rahman","drmizanurr@yahoo.com","","10","2014","","","No","uniforms,financial aid","","","","","","","","","184","47.4137429","-122.1977657"
"185","Medina Academy - (Bellevue Campus)","(425) 643-2678","16242 Northup Way, Bellevue, WA 98008","Bellevue","Washington","Prek-6th","United States","Aishah Jalani","aishah.jalani@medinaacademy.org","http://medinaacademy.org","","2015","Prek-6th","$0-$2999","Yes","","","","https://www.facebook.com/MedinaAcademy","","https://twitter.com/medinaacademy","","","","185","47.6253432","-122.1224771"
"186","Medina Academy - (Redmond Campus)","(425) 643-2678","17550 NE 67th Ct, Redmond, WA 98052","Redmond","Washington","Prek-6th","United States","Aishah Jalani","aishah.jalani@medinaacademy.org","http://medinaacademy.org","","2015","Prek-6th","$0-$2999","Yes","","","","https://www.facebook.com/MedinaAcademy","","https://twitter.com/medinaacademy","","","","186","47.6657682","-122.1066887"
"187","Clara Muhammad School","(202) 610-1090","Washington, DC 20020","Washington","Washington, D.C.","6th-12th","United States","Samuel Shareef","","https://www.cmsmkewi.us/","","1972","6th-12th","$0-$2999","No","","","","https://www.facebook.com/cmsmkewi.us/","","","","","","187","38.8641775","-76.98158769999999"
"188","Clara Mohammed School","(414) 263-6772","317 W Wright St, Milwaukee, WI 53212","Milwaukee","Wisconsin","K-5th","United States","Basimah Abdullah","info@cmsmkewi.us","https://www.cmsmkewi.us/","","1972","K-5th","$0-$2999","No","uniform, transportation","","","https://www.facebook.com/cmsmkewi.us/","","","","","","188","43.0637832","-87.9145183"
"189","Guidance Academy","(414) 312-8755","1800 16th Ave, South Milwaukee, WI 53172","South Milwaukee","Wisconsin","Prek-10th","United States","Malika Harizi","admin@guidancemke.org","http://guidancemke.org","125","2016","Prek-10th","$3000-$4999","Yes","hot lunch, science lab, state voucher, financial aid","","","https://www.facebook.com/guidance.alhuda/","","","","","","189","42.9133939","-87.87346749999999"
"190","Madinah Academy of Madison","(606) 888-2021","6501 Watts Rd, Madison, WI 53719","Madison","Wisconsin","Prek-6th","United States","Umar Warsi","principal@mamonline.org","https://mamonline.org/","","2004","Prek-6th","$0-$2999","No","","","","https://www.facebook.com/madinahacademyofmadison/","","","","","","190","43.0495563","-89.4934731"
"191","Salam School - (Middle High)","(414) 282-0504","4707 South 13th Street, Milwaukee, WI 53221","Milwaukee","Wisconsin","","United States","Wanis H. Shalaby","wshalaby@salamschool.com","http://salamschool.com","950","","","$3000-$4999","Yes","hot lunch","","","","https://www.instagram.com/salam_school/","https://twitter.com/ismmke","","","","191","42.9589128","-87.92981259999999"
"192","Salam School","(414) 744-3837","815 W Layton Ave, Milwaukee, WI 53221","Milwaukee","Wisconsin","","United States","Wanis H. Shalaby","wshalaby@salamschool.com","http://salamschool.com","950","","","$3000-$4999","Yes","hot lunch","","","","https://www.instagram.com/salam_school/","https://twitter.com/ismmke","","","","192","42.9565781","-87.9227575"
"194","Muslim Educational Trust - ISMET PK - 5th","(503) 579-6621","10330 SW Scholls Ferry Rd, Tigard, OR 97223","Tigard","Oregon","Prek-12th","United States","Juwairyah Syed","admin@metpdx.org","http://www.metpdx.org","192","1997","Prek-12th","$7000-$8999","Yes","hot lunch, scholarship, science lab, uniforms, sibling disc,  financial aid","","","https://www.facebook.com/metpdx93/","https://www.instagram.com/met_pdx/","https://twitter.com/MET_PDX","","","","194","45.4448695","-122.7948209"
"195","Muslim Educational Trust - OIA 6th - 12th","(503) 579-6622","10331 SW Scholls Ferry Rd, Beaverton, OR 97008","Tigard","Oregon","","United States","Juwairyah Syed","admin@metpdx.org","http://www.metpdx.org","","","","","","","","","","","","","","","195","45.4468834","-122.7909819"
"196","Makkah International Institute","(770) 676-9242","4158 Stone Mountain Hwy a, Lilburn, GA 30047","Lilburn","Georgia","K-12th","United States","Tariq Abdul-Malik","info@makkahinstitute.org","https://www.makkahinstitute.org","37","2020","K-12th","$0-$2999","In-progress","scholarship, uniforms, sibling disc,","","","https://www.facebook.com/makkahii","https://www.instagram.com/makkah_institute/","https://twitter.com/institutemakkah","","","","196","33.8350462","-84.07342369999999"
"200","Annoor Academy of Knoxville","(865) 525-3399","724 Foxvue Rd SW, Knoxville, TN 37922","Knoxville","Tennessee","N/A","United States","N/A","reem@annooracademy.net","http://www.annoor.org","160","1998","N/A","N/A","Accredited","hot lunch, scholarship, science lab, uniforms, After school clubs,Tutoring Program,Sports teams,Regional and National competitions,Advanced Placement (AP),College preparatory programs","","","https://www.facebook.com/annooracademy","https://www.instagram.com/annooracademy/","","","","","200","35.8911906","-84.10928489999999"
"201","Salam Academy","(505) 888-7688","8015 Mountain Rd Pl NE, Albuquerque, NM 87110","Albuquerque","New Mexico","N/A","United States","N/A","questions@salamacademy.org","http://www.salamacademy.org","119","2001","N/A","N/A","Accredited","Tutoring Program,Homeschooling support,Regional and National competitions,College dual credit,Alumni association","","","https://www.facebook.com/p/Salam","","","","","","201","35.0918991","-106.5565757"
"202","El-Sewedy International Academy of Cincinnati","(513) 755-0169","West Chester Township, OH 45071","West Chester","Ohio","N/A","United States","N/A","info@intlacademy.org","http://www.intlacademy.org","224","2000","N/A","N/A","Not accredited","Transportation/busing,After school clubs,English Language Learner (ELL) support","","","","","","","","","202","39.33","-84.41000000000001"
"203","Peace Terrace Academy","(510) 477-9946","33330 Peace Terrace, Fremont, CA 94555","Fremont","California","N/A","United States","N/A","admin@peaceterrace.org","http://www.peaceterrace.org","230","1998","N/A","N/A","Accredited","   After school clubs,Special education,Character/tarbiyah program,Tutoring Program,Debate,Digital citizenship education,English Language Learner (ELL) support,Hifdh,Sports teams","","","https://www.facebook.com/peaceterraceacademy/","","","","","","203","37.5808282","-122.0547467"
"204","Genesee Academy","(810) 250-7557","9447 Corunna Rd, Swartz Creek, MI 48473","Swartz Creek","Michigan","N/A","United States","N/A","principal@gaflint.org","http://www.gaflint.org","254","1995","N/A","N/A","Accredited","hot lunch, scholarship, science lab, uniforms, Transportation/busing,Character/tarbiyah program,International Baccalaureate (IB),Tutoring Program,English Language Learner (ELL) support,Regional and National competitions,Advanced Placement (AP),College dual credit,College preparatory programs","","","https://www.facebook.com/gaflint","","","","","","204","42.9998764","-83.8679275"
"205","Al-Iman School","(919) 821-1699","Islamic Center of Raleigh, Headhouse Unit 4, 3020 Ligon St, Raleigh, NC 27607","Raleigh","North Carolina","N/A","United States","N/A","principal@alimancrescent.org","http://alimanschool.org","290","1992","N/A","N/A","Accredited","hot lunch, scholarship, science lab, uniforms, After school clubs,Character/tarbiyah program,Digital citizenship education,Regional and National competitions","","","https://www.facebook.com/alimancrescent/","https://www.instagram.com/alimanschoolnc/","","","","","205","35.7884434","-78.6954549"
"206","New Horizons Academy DBA ALRazi Academy","(515) 255-0220","1119 5th St, West Des Moines, IA 50265","West Des Moines","Iowa","N/A","United States","N/A","mynewhorizonsacademy04@gmail.com","http://www.alraziacademy.org","20","2003","N/A","N/A","Not accredited","uniforms, Transportation/busing,After school clubs,Regional and National competitions","","","https://www.facebook.com/AlRaziAcademy04","","https://twitter.com/AlRaziAcademy","https://www.youtube.com/@NewHorizonsAcademy","","","206","41.5868407","-93.7080422"
"207","ZAMZAM KNOWLEDGE ACADEMY INC","(386) 301-9901","347 S Keech St, Daytona Beach, FL 32114","Daytona Beach","Florida","N/A","United States","N/A","zamzamacademyfl@gmail.com","http://zamzamacademyfl.com","23","2016","N/A","N/A","Not accredited","uniforms, Character/tarbiyah program,Tutoring Program","","","https://www.facebook.com/search/top?q=zamzam%20knowledge%20academy","","","","","","207","29.2005636","-81.03435689999999"
"208","Montessori School of Excellence","(214) 491-6090","6200 Virginia Pkwy, McKinney, TX 75071","Mckinney","Texas","N/A","United States","N/A","info@montessoriexcellence.com","http://www.montessoriexcellence.com","75","2012","N/A","N/A","Granted candidacy status","Character/tarbiyah program,Montessori curriculum/program,Homeschooling support","","","https://www.facebook.com/MontessoriSchoolOfExcellence/","https://www.instagram.com/montessoriexcellence/","","https://www.youtube.com/@MontessoriExcellence","","","208","33.1994185","-96.7007828"
"209","Muslim Academy","(504) 433-1960","440 Realty Dr, Gretna, LA 70056","Gretna","Louisiana","N/A","United States","N/A","principal@muslimacademyla.com","http://www.muslimacademyla.org","320","2000","N/A","N/A","Not accredited","College dual credit,College preparatory programs","","","","","https://twitter.com/MuslimAcademyLa","","","","209","29.8787147","-90.02966359999999"
"210","Orange Crescent School","(714) 531-1451","Al-Rahman Plaza, 1 Al-Rahman Plaza, Garden Grove, CA 92844","Garden Grove","California","N/A","United States","N/A","myoussef@orangecrescent.com","http://www.orangecrescent.com","270","1983","N/A","N/A","Accredited","hot lunch, scholarship, science lab, uniforms, Transportation/busing,After school clubs,Character/tarbiyah program,Montessori curriculum/program,Sports teams,Regional and National competitions,College dual credit,Alumni association","","","https://www.facebook.com/OrangeCrescentSchool","https://www.instagram.com/orangecrescentschool/","https://twitter.com/ocsrisingstar","","","","210","33.7553545","-117.9588111"
"211","College Preparatory School of America","(630) 889-8000","331 W Madison St, Lombard, IL 60148","Lombard","Illinois","N/A","United States","N/A","mainoffice@cpsaonline.org","http://cpsaonline.org","630","1991","N/A","N/A","Accredited","After school clubs,Character/tarbiyah program,Tutoring Program,Debate,Regional and National competitions,Advanced Placement (AP),College preparatory programs,Alumni association","","","https://www.facebook.com/cpsaschool","","","https://www.youtube.com/@cpsathunder4720","","","211","41.8740804","-88.0249046"
"212","Averroes High School","(510) 580-4566","43433 Mission Blvd, Fremont, CA 94539","Fremont","California","N/A","United States","N/A","info@averroesinstitute.com","http://www.averroeshighschool.com","65","2011","N/A","N/A","Accredited","hot lunch, scholarship, science lab, uniforms, Transportation/busing,After school clubs,Character/tarbiyah program,Tutoring Program,Sports teams,Advanced Placement (AP),College dual credit,College preparatory programs,Alumni association","","","https://www.facebook.com/AverroesInstitute","https://www.instagram.com/averroeshigh/","https://twitter.com/averroeshs","https://www.youtube.com/@AverroesInstitute","","","212","37.5313273","-121.9200765"
"213","Al-Amal School","(763) 571-8886","1401 Gardena Ave NE, Fridley, MN 55432","Fridley","Minnesota","N/A","United States","N/A","info@al-amal.org","http://www.al-amal.org/","435","","N/A","N/A","Accredited","After school clubs,Character/tarbiyah program,Hifdh,Regional and National competitions,College dual credit,College preparatory programs","","","https://www.facebook.com/AlAmalFridleyMN/","","","","","","213","45.075322","-93.2356066"
